time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637588479288262564,437783,146404,31,31,3,1,1,0,5.092224,5.26178,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.0, -2.0, -20.7),(-31.1, -5.3, -22.4),(31.7, -2.0, -20.7),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.1, 1.0),1,0,0,0,0,0.1189304,0.2693046,False,0,1,
637588479288302455,437791,146405,31,31,3,1,1,0,5.0905,5.262741,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.0, -2.0, -20.7),(-31.1, -5.3, -22.4),(-6.6, -4.0, -21.7),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.09127418,0.2571781,False,0,1,
637588479288402188,437799,146406,31,31,3,1,1,0,5.098129,5.260498,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.0, -2.0, -20.7),(-31.1, -5.3, -22.4),(-9.0, -4.1, -21.8),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.0827442,0.2560094,False,0,1,
637588479288511892,437808,146407,31,31,3,1,1,0,5.105469,5.261719,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.0, -2.0, -20.7),(-31.1, -5.3, -22.4),(-8.0, -4.1, -21.8),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.07753751,0.2600898,False,0,1,
637588479288571739,437816,146408,31,31,3,1,1,0,5.105362,5.26683,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.0, -2.0, -20.7),(-31.1, -5.3, -22.4),(-10.6, -4.2, -21.9),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.07474321,0.2622796,False,0,1,
637588479288671464,437824,146409,31,31,3,1,1,0,5.104111,5.259048,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.0, -2.0, -20.7),(-31.1, -5.3, -22.4),(-10.1, -4.2, -21.9),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.09120575,0.2640009,False,0,1,
637588479288771197,437833,146410,31,31,3,1,1,0,5.104294,5.264954,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.1, -2.0, -20.7),(-31.1, -5.3, -22.5),(-9.7, -4.2, -21.8),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.1000408,0.2649246,False,0,1,
637588479288811094,437841,146411,31,31,3,1,1,0,5.104111,5.271057,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.1, -2.0, -20.7),(-31.1, -5.3, -22.5),(-9.2, -4.1, -21.8),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.09612097,0.2635407,False,0,1,
637588479288900852,437849,146412,31,31,3,1,1,0,5.104462,5.277695,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.1, -2.0, -20.6),(-31.1, -5.3, -22.5),(-8.8, -4.1, -21.8),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.0940173,0.262798,False,0,1,
637588479289070397,437858,146413,31,31,3,1,1,0,5.105881,5.278885,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.1, -2.0, -20.6),(-31.1, -5.3, -22.5),(-8.7, -4.1, -21.8),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.08164022,0.2599382,False,0,1,
