timestamp,ticksSince1970 (100ns),ObjectId,ActionId,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9
0.0298607,1.6230837968948664e+16,0,5,hall
0.0597214,1.6230837972165452e+16,2,3,1,1,0.09415872616051313
0.0797214,1.62308379725082e+16,1,3,1,2,0.09415924601921631
0.1541542,1.6230837973296096e+16,1,3,0,2,3.437124470874472
0.1541542,1.6230837973296096e+16,2,3,0,1,0.5745180614117624
35.1095,1.6230838324334738e+16,0,5,corridor
36.6778,1.623083834002292e+16,0,5,livingroom
37.56411,1.6230838348879004e+16,0,5,corridor
38.83271,1.623083836156348e+16,0,5,livingroom
41.84295,1.6230838391667284e+16,0,1,-2.097514,1.688505,-3.175536,-0.2828606,1.688448,-3.578502
43.52777,1.6230838408527564e+16,0,1,-0.3365768,1.737751,-3.47729,3.125945,1.738373,-2.412319
45.79109,1.6230838431160514e+16,0,1,3.180826,1.707432,-2.43209,7.240994,1.706924,-0.8164459
45.79109,1.6230838431160514e+16,0,5,terrace
60.12838,1.6230838574529566e+16,0,1,7.877294,1.790818,-3.515689,9.726001,3.721742,-3.996
67.43903,1.623083864763867e+16,0,1,9.930408,3.700121,-4.072228,11.38579,6.007434,-8.986422
71.62737,1.623083868951331e+16,0,1,11.45274,6.034826,-8.833131,13.24357,8.681023,-7.068243
102.548,1.6230838998718136e+16,0,1,12.85277,8.508646,-6.965083,9.726,3.553596,-3.996
109.0778,1.623083906401754e+16,0,1,9.721019,3.566566,-4.337339,7.135979,1.634618,-5.981931
120.3335,1.6230839176586992e+16,0,1,7.196029,1.714585,-5.600221,5.34147,1.714121,-0.7216442
122.9909,1.6230839203156826e+16,0,1,5.238437,1.695772,-0.8336509,1.91693,1.69577,-0.1771382
