timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-06-10-15-56-31,16233405911132561,Tutorial,00:01:15.7718343,17,1,
21-06-10-15-57-46,16233406669079073,HouseNarrative,00:08:55.0151013,150,0,
