time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637586595299433660,3063712,5,31,31,3,0.8767718,0.8389329,0,3.640503,3.868301,0,(0.4, 0.4),(0.3, 0.4),(0.0, 0.0),(35.7, 5.0, -27.2),(-27.1, 3.7, -23.2),(35.7, 5.0, -27.2),(0.2, -0.1, 1.0),(0.3, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637586595299453614,3063720,6,31,31,3,1,1,0,3.539978,3.725677,0,(0.4, 0.4),(0.3, 0.4),(0.0, 0.0),(35.6, 5.0, -27.5),(-27.2, 3.8, -23.6),(35.6, 5.0, -27.5),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2677115,0.2677115,False,0,0,
637586595299473556,3063728,7,31,31,3,1,1,0,3.542236,3.750168,0,(0.4, 0.4),(0.3, 0.4),(0.0, 0.0),(35.6, 5.1, -27.5),(-27.3, 3.8, -23.8),(35.6, 5.1, -27.5),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.3319989,0.3319989,False,0,0,
637586595299493501,3063737,8,31,31,3,1,1,0,3.659378,3.705933,0,(0.4, 0.4),(0.3, 0.4),(0.0, 0.0),(35.5, 5.0, -27.4),(-27.3, 3.9, -23.8),(35.5, 5.0, -27.4),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.3319989,0.3319989,False,0,0,
637586595299533392,3063745,9,31,31,3,1,1,0,3.560287,3.731567,0,(0.4, 0.4),(0.3, 0.4),(0.0, 0.0),(35.4, 5.2, -28.1),(-27.4, 3.9, -23.9),(35.4, 5.2, -28.1),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.3319989,0.3319989,False,0,0,
637586595299623154,3063753,10,31,31,3,1,1,0,3.700333,3.857681,0,(0.4, 0.4),(0.3, 0.4),(0.0, 0.0),(35.4, 5.2, -28.1),(-27.5, 3.8, -23.8),(35.3, 5.2, -28.1),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.3665004,0.3665004,False,0,0,
637586595299692964,3063762,11,31,31,3,1,1,0,3.552139,3.786758,0,(0.4, 0.4),(0.4, 0.4),(0.0, 0.0),(35.3, 5.3, -28.2),(-27.5, 3.8, -23.8),(35.1, 5.3, -28.2),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.36235,0.36235,False,0,0,
637586595299782728,3063770,12,31,31,3,1,1,0,3.64711,3.620193,0,(0.4, 0.4),(0.4, 0.4),(0.0, 0.0),(35.2, 5.3, -28.2),(-27.6, 3.8, -23.6),(-25.1, 3.9, -23.8),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.3601226,0.3601226,False,0,0,
637586595299862514,3063778,13,31,31,3,1,1,0,3.550217,3.763107,0,(0.4, 0.4),(0.4, 0.4),(0.0, 0.0),(35.2, 5.2, -27.7),(-27.7, 3.8, -23.5),(-25.2, 3.8, -23.7),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.3514488,0.3514488,False,0,0,
637586595299942300,3063787,14,31,31,3,1,1,0,3.577026,3.72731,0,(0.4, 0.4),(0.4, 0.4),(0.0, 0.0),(35.1, 5.1, -27.4),(-27.7, 3.8, -23.6),(-27.4, 3.8, -23.6),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),(0.1, -0.1, 1.0),1,0,0,0,0,0.3467938,0.3467938,False,0,0,
