timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-05-31-16-14-45,16224776859290903,Tutorial,00:03:14.3081185,17,1,
21-05-31-16-18-00,16224778802615128,HouseObjectives,00:11:48.6228017,147,0,
