timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-06-09-15-20-51,16232520514356249,Tutorial,00:00:23.4259399,17,1,
21-06-09-15-21-20,16232520809609663,HouseNarrative,00:05:55.8412528,150,0,
