timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-05-26-15-37-56,16220434765880364,Tutorial,00:00:50.2138565,17,1,
21-05-26-15-38-52,16220435327981971,HouseObjectives,00:05:21.6534373,147,0,
