timestamp,ticksSince1970 (100ns),ObjectId,ActionId,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9
0.0750825,1.6224665139876332e+16,0,5,hall
0.150165,1.6224665141596832e+16,0,2,1,no idea
0.150165,1.6224665141596832e+16,2,3,1,1,0.09402749659231018
0.170165,1.6224665142314908e+16,1,3,1,2,0.09402733584459257
0.270165,1.6224665143447118e+16,1,3,0,2,3.7126854933530327
0.270165,1.6224665143447118e+16,2,3,0,1,0.43995794988534975
18.29152,1.6224665325357664e+16,0,5,corridor
20.21275,1.6224665344547452e+16,0,1,-2.975327,1.51765,-2.526439,-1.154011,1.515578,-3.117929
20.21275,1.6224665344547452e+16,0,5,livingroom
22.75174,1.6224665369960768e+16,0,1,-1.129522,1.517715,-2.997451,0.5093349,1.516639,-2.589295
