timestamp,ticksSince1970 (100ns),eventId
15.68479,16226451512852620,0
16.05877,16226451515754861,1
16.50165,16226451520193237,1
16.65697,16226452008930251,1
48.82384,16226452332353710,0
49.82213,16226452342337546,1
56.92035,16226452413350078,2
