time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637580754464574597,3260469,271105,31,31,3,1,1,0,4.175278,3.930817,0,(0.5, 0.6),(0.5, 0.6),(0.0, 0.0),(32.9, -1.5, -24.1),(-32.2, -4.2, -23.2),(32.9, -1.5, -24.1),(0.0, 0.0, 1.0),(0.0, 0.1, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.3535958,0.3535958,False,0,0,
637580754464963559,3260477,271106,31,31,3,1,1,0,4.20018,3.989151,0,(0.5, 0.6),(0.5, 0.6),(0.0, 0.0),(32.9, -1.5, -24.1),(-32.3, -4.1, -23.7),(32.9, -1.5, -24.1),(-0.1, 0.0, 1.0),(0.0, 0.0, 1.0),(-0.1, 0.0, 1.0),1,0,0,0,0,0.3533129,0.3533129,False,0,0,
637580754464983507,3260485,271107,31,31,3,1,1,0,4.200073,3.929153,0,(0.5, 0.6),(0.5, 0.6),(0.0, 0.0),(32.6, -1.7, -23.7),(-32.5, -3.5, -25.3),(32.6, -1.7, -23.7),(-0.1, 0.1, 1.0),(0.0, 0.0, 1.0),(-0.1, 0.1, 1.0),1,0,0,0,0,0.3556544,0.3556544,False,0,0,
637580754465003455,3260510,271110,31,31,3,1,1,0,4.153229,3.801025,0,(0.6, 0.6),(0.6, 0.6),(0.0, 0.0),(31.9, -1.7, -24.0),(-33.1, -4.0, -24.4),(31.9, -1.7, -24.0),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.3894629,0.3894629,False,0,0,
637580754465073265,3260519,271111,31,31,3,1,1,0,4.198807,3.827072,0,(0.6, 0.6),(0.6, 0.6),(0.0, 0.0),(31.8, -1.7, -24.0),(-33.1, -4.0, -24.4),(31.8, -1.7, -24.0),(-0.2, 0.0, 1.0),(-0.2, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.3894629,0.3894629,False,0,0,
637580754465153052,3260527,271112,31,31,3,1,1,0,4.213547,3.967361,0,(0.6, 0.6),(0.6, 0.6),(0.0, 0.0),(31.9, -1.7, -24.0),(-33.1, -4.0, -24.4),(31.9, -1.7, -24.0),(-0.2, 0.0, 1.0),(-0.2, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4076072,0.4076072,False,0,0,
637580754465232837,3260535,271113,31,31,3,1,1,0,4.233261,4.004089,0,(0.6, 0.6),(0.6, 0.6),(0.0, 0.0),(31.9, -1.7, -23.9),(-33.1, -4.0, -24.4),(31.9, -1.7, -23.9),(-0.2, 0.0, 1.0),(-0.2, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4235853,0.4235853,False,0,0,
637580754465561958,3260544,271114,31,31,3,1,1,0,4.269119,3.968643,0,(0.6, 0.6),(0.6, 0.6),(0.0, 0.0),(31.9, -1.7, -23.8),(-33.1, -4.0, -24.4),(31.9, -1.7, -23.8),(-0.2, 0.0, 1.0),(-0.2, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4321604,0.4321604,False,0,0,
637580754465631771,3260560,271116,31,31,3,1,1,0,4.260696,3.908905,0,(0.6, 0.6),(0.6, 0.6),(0.0, 0.0),(31.9, -1.7, -23.8),(-33.1, -4.0, -24.3),(31.9, -1.7, -23.8),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4323971,0.4323971,False,0,0,
637580754465691615,3260569,271117,31,31,3,1,1,0,4.302963,3.834091,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.0, -1.7, -23.9),(-33.0, -4.0, -24.2),(32.0, -1.7, -23.9),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4325241,0.4325241,False,0,0,
637580754465741478,3260577,271118,31,31,3,1,1,0,4.275253,3.870132,0,(0.6, 0.6),(0.6, 0.6),(0.0, 0.0),(32.0, -1.7, -23.8),(-33.0, -4.0, -24.2),(31.9, -1.7, -23.8),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4217324,0.4217324,False,0,0,
637580754465811290,3260585,271119,31,31,3,1,1,0,4.192291,3.951874,0,(0.6, 0.6),(0.6, 0.6),(0.0, 0.0),(32.0, -1.7, -23.8),(-33.0, -4.0, -24.2),(30.6, -1.7, -23.8),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4159407,0.4159407,False,0,0,
637580754465861157,3260594,271120,31,31,3,1,1,0,4.110184,3.887939,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.0, -1.7, -23.8),(-33.0, -4.0, -24.2),(12.7, -2.4, -23.9),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4371081,0.4371081,False,0,0,
637580754465920995,3260602,271121,31,31,3,1,1,0,4.160583,3.898911,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.0, -1.7, -23.8),(-33.0, -4.0, -24.1),(19.5, -2.1, -23.9),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4484681,0.4484681,False,0,0,
637580754466020729,3260610,271122,31,31,3,1,1,0,4.210327,3.910263,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.0, -1.7, -23.8),(-33.0, -4.0, -24.1),(22.8, -2.0, -23.8),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4524867,0.4524867,False,0,0,
637580754466150379,3260619,271123,31,31,3,1,1,0,4.312256,3.980927,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.0, -1.8, -23.5),(-33.0, -4.0, -24.1),(18.7, -2.2, -23.6),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4546434,0.4546434,False,0,0,
637580754466190273,3260627,271124,31,31,3,1,1,0,4.254745,3.938263,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.0, -1.8, -23.5),(-33.0, -4.0, -24.1),(1.6, -2.8, -23.7),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.1, 0.0, 1.0),1,0,0,0,0,0.4526715,0.4526715,False,0,0,
637580754466250115,3260635,271125,31,31,3,1,1,0,4.191208,3.951218,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.0, -1.8, -23.5),(-33.0, -4.1, -24.1),(-16.8, -3.5, -23.9),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.1, 0.0, 1.0),1,0,0,0,0,0.4508125,0.4508125,False,0,0,
637580754466319929,3260644,271126,31,31,3,1,1,0,4.244873,3.939743,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.0, -1.8, -23.5),(-33.0, -4.1, -24.1),(-24.3, -3.8, -24.0),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.1, 0.0, 1.0),1,0,0,0,0,0.479255,0.479255,False,0,0,
637580754466544387,3260652,271127,31,31,3,1,1,0,4.238235,3.926254,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.1, -1.7, -23.6),(-33.0, -4.1, -24.0),(-22.3, -3.7, -24.0),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.1, 0.0, 1.0),1,0,0,0,0,0.4945193,0.4945193,False,0,0,
637580754466564328,3260660,271128,31,31,3,1,1,0,4.247757,3.939316,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.1, -1.7, -23.6),(-33.0, -4.1, -24.0),(-18.4, -3.5, -23.9),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.1, 0.0, 1.0),1,0,0,0,0,0.5108029,0.5108029,False,0,0,
637580754466624171,3260669,271129,31,31,3,1,1,0,4.21785,3.95163,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.1, -1.7, -23.7),(-33.0, -4.1, -24.0),(-16.1, -3.4, -23.9),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.1, 0.0, 1.0),1,0,0,0,0,0.5108029,0.5108029,False,0,0,
637580754466753822,3260677,271130,31,31,3,1,1,0,4.290268,3.985504,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.1, -1.6, -23.8),(-32.9, -4.5, -22.7),(31.5, -1.6, -23.8),(-0.2, 0.0, 1.0),(-0.1, 0.0, 1.0),(-0.2, 0.0, 1.0),1,0,0,0,0,0.4848636,0.4848636,False,0,0,
637580754466773771,3260685,271131,31,31,3,1,1,0,4.277008,4.129288,0,(0.6, 0.6),(0.5, 0.6),(0.0, 0.0),(32.1, -1.6, -24.0),(-32.9, -4.6, -22.5),(32.1, -1.6, -24.0),(-0.1, 0.0, 1.0),(-0.1, 0.1, 1.0),(-0.1, 0.0, 1.0),1,0,0,0,0,0.5008898,0.5008898,False,0,0,
