time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637588404795432272,1578398,34765,31,31,3,0.8882563,0.9802992,0,5.574051,5.571442,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.7),(29.5, 9.0, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404795592210,1578406,34766,31,31,3,0.8910472,0.982037,0,5.576309,5.598709,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.7),(30.6, 9.0, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404795642076,1578423,34768,31,31,3,0.8917234,0.9821598,0,5.594467,5.597824,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.7),(31.0, 9.0, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404795712053,1578431,34769,31,31,3,0.9011237,0.9829345,0,5.587524,5.570648,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.7),(23.8, 8.9, -30.2),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404795782010,1578440,34770,31,31,3,0.9068596,0.9827086,0,5.584534,5.568649,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.8),(21.1, 8.9, -30.2),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404795831880,1578448,34771,31,31,3,0.9068596,0.9827086,0,5.58757,5.569168,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.8),(15.6, 8.8, -30.2),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404795911855,1578456,34772,31,31,3,0.9139397,0.9766658,0,5.593307,5.571671,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.8),(8.9, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404795952000,1578465,34773,31,31,3,0.9139397,0.9766658,0,5.587326,5.574844,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.8),(5.2, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796201514,1578473,34774,31,31,3,0.917176,0.9827219,0,5.594482,5.57634,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.8),(5.2, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796261715,1578490,34776,31,31,3,0.917176,0.9827219,0,5.605087,5.578049,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.8),(4.2, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796711138,1578498,34777,31,31,3,0.9257411,0.9712362,0,5.60997,5.578217,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.8),(3.7, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796731080,1578506,34778,31,31,3,0.9257411,0.9712362,0,5.614212,5.57724,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.8),(3.5, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796746914,1578515,34779,31,31,3,0.9257411,0.9712362,0,5.618423,5.575821,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.3, -29.8),(3.8, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796761925,1578523,34780,31,31,3,0.9257411,0.9712362,0,5.618423,5.575073,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.3, -29.8),(4.9, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796781874,1578531,34781,31,31,3,0.9257411,0.9712362,0,5.620682,5.574417,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.3, -29.9),(6.1, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796801821,1578540,34782,31,31,3,0.9257411,0.9712362,0,5.620682,5.573196,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.3, -29.9),(7.3, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796831740,1578548,34783,31,31,3,0.9257411,0.9712362,0,5.623978,5.5728,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.3, -29.9),(7.8, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404796912087,1578556,34784,31,31,3,0.9129649,0.9797182,0,5.627274,5.5728,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.3, -29.9),(7.8, 8.7, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404797101908,1578565,34785,31,31,3,0.9129649,0.9797182,0,5.626938,5.548752,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.0, -30.3),(-31.2, 8.2, -29.6),(14.6, 8.8, -30.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404797121851,1578573,34786,31,31,3,0.9123469,0.9859455,0,5.651001,5.631302,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.1, -30.3),(-31.3, 8.1, -29.1),(32.1, 9.0, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404797141799,1578581,34787,31,31,3,0.8765181,0.9623493,0,5.594009,5.591446,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.1, -30.3),(-31.3, 8.1, -29.0),(33.4, 9.1, -30.3),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404797221812,1578590,34788,31,31,3,0.8765181,0.9623493,0,5.617172,5.409821,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.1, -30.4),(-31.3, 8.3, -29.9),(33.4, 9.1, -30.4),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404797272066,1578598,34789,25,31,3,0.8765181,0.9623493,0,-1,5.206894,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.2, -30.3),(-31.3, 8.3, -29.8),(-31.3, 8.3, -29.8),(0.0, 0.0, 0.0),(0.1, -0.3, 1.0),(0.1, -0.3, 1.0),1,0,0,0,0,0,0,False,0,1,
637588404797371988,1578606,34790,25,25,0,0.727425,0.7928199,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.3, -30.3),(-31.3, 8.6, -30.5),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404797431829,1578615,34791,24,25,0,0.727425,0.7928199,0,-1,-1,0,(0.4, 0.4),(0.5, 0.3),(0.0, 0.0),(33.4, 9.3, -30.3),(-31.3, 8.6, -29.7),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404797571872,1578623,34792,24,24,0,0.4202701,0.4271821,0,-1,-1,0,(0.4, 0.4),(0.5, 0.4),(0.0, 0.0),(33.4, 9.3, -30.3),(-31.3, 8.6, -29.7),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404797601794,1578631,34793,24,24,0,0.4202701,0.4271821,0,-1,-1,0,(0.3, 0.4),(0.5, 0.4),(0.0, 0.0),(33.4, 9.3, -30.3),(-31.3, 8.6, -29.7),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404797681729,1578640,34794,24,25,0,0.1105351,0.1997228,0,-1,-1,0,(0.3, 0.5),(0.5, 0.4),(0.0, 0.0),(33.4, 9.3, -30.3),(-32.1, 7.5, -29.9),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404797761720,1578648,34795,8,25,0,0.1105351,0.1997228,0,-1,-1,0,(-1.0, -1.0),(0.6, 0.4),(0.0, 0.0),(33.4, 9.3, -30.3),(-32.4, 7.6, -29.9),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404797841509,1578656,34796,8,25,0,0.01789518,0.1351288,0,-1,-1,0,(-1.0, -1.0),(0.6, 0.4),(0.0, 0.0),(33.4, 9.3, -30.3),(-32.2, 7.6, -30.1),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404797991457,1578665,34797,25,25,0,0.01789518,0.1351288,0,-1,-1,0,(0.3, 0.4),(0.6, 0.4),(0.0, 0.0),(35.0, 8.4, -31.3),(-32.6, 7.8, -30.0),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798021371,1578673,34798,25,25,0,0.1223891,0.236867,0,-1,-1,0,(0.4, 0.4),(0.5, 0.3),(0.0, 0.0),(35.0, 8.5, -30.9),(-31.3, 8.6, -29.8),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798111381,1578681,34799,25,25,0,0.1223891,0.236867,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.5, 9.3, -30.3),(-31.4, 8.9, -31.0),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798191357,1578690,34800,25,25,0,0.2726673,0.3300223,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.5, 9.3, -30.2),(-31.5, 8.5, -29.3),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798291282,1578698,34801,25,25,0,0.2726673,0.3300223,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.6, 9.4, -30.2),(-31.3, 8.5, -29.2),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798431082,1578706,34802,25,25,0,0.3959582,0.4097927,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.3, -30.3),(-31.4, 8.6, -30.2),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798521017,1578715,34803,25,25,0,0.3959582,0.4097927,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.3, -30.3),(-31.4, 8.7, -30.3),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798581012,1578723,34804,25,25,0,0.470241,0.4893871,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.3, -30.3),(-31.4, 8.6, -30.2),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798620907,1578731,34805,25,25,0,0.470241,0.4893871,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.4, 9.3, -30.3),(-31.4, 8.6, -30.2),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
637588404798790773,1578740,34806,25,25,0,0.5355865,0.543431,0,-1,-1,0,(0.5, 0.3),(0.5, 0.3),(0.0, 0.0),(33.5, 9.4, -31.2),(-31.4, 8.6, -30.2),(-1.0, -1.0, -1.0),(0.0, 0.0, 0.0),(0.0, 0.0, 0.0),(-1.0, -1.0, -1.0),1,0,0,0,0,0,0,False,0,1,
