timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-05-27-16-17-59,16221322797241441,Tutorial,00:01:30.0156621,17,1,
21-05-27-16-19-36,16221323760224246,HouseObjectives,00:11:15.7492864,147,0,
