step_index,element,order,item,dir_path
1,questionnaires,ordered,demographics,Enregistrements\S17\profiling\S17_answers_demographics.csv
1,questionnaires,ordered,FPT,Enregistrements\S17\profiling\S17_answers_FPT.csv
1,questionnaires,ordered,gaming,Enregistrements\S17\profiling\S17_answers_gaming.csv
2,condition,latin_square,Narrative,Enregistrements\S17\Narrative
2b,questionnaires,ordered,DFS_Narrative,Enregistrements\S17\profiling\S17_answers_DFS_Narrative.csv
2b,questionnaires,ordered,TPI_Narrative,Enregistrements\S17\profiling\S17_answers_TPI_Narrative.csv
2,condition,latin_square,Aesthetic,Enregistrements\S17\Aesthetic
2b,questionnaires,ordered,DFS_Aesthetic,Enregistrements\S17\profiling\S17_answers_DFS_Aesthetic.csv
2b,questionnaires,ordered,TPI_Aesthetic,Enregistrements\S17\profiling\S17_answers_TPI_Aesthetic.csv
2,condition,latin_square,Goals,Enregistrements\S17\Goals
2b,questionnaires,ordered,DFS_Goals,Enregistrements\S17\profiling\S17_answers_DFS_Goals.csv
2b,questionnaires,ordered,TPI_Goals,Enregistrements\S17\profiling\S17_answers_TPI_Goals.csv
