timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-05-27-16-08-14,16221316941414579,Tutorial,00:00:29.4833186,17,1,
21-05-27-16-08-43,16221317236476182,HouseObjectives,00:14:26.6307888,147,0,
