time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637580816799506432,1601429,218022,31,31,3,0.9605223,0.9936169,0,3.857788,3.922241,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.9, -31.8),(-29.3, 1.3, -31.9),(2.0, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0,False,0,0,
637580816799565949,1601446,218024,31,31,3,0.960381,1,0,3.861526,3.922333,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.9, -31.8),(-29.3, 1.3, -31.9),(1.9, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.02117307,False,0,0,
637580816799665158,1601454,218025,31,31,3,0.9532299,1,0,3.861649,3.934006,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.8),(-29.3, 1.3, -31.9),(1.8, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01738591,False,0,0,
637580816799789151,1601462,218026,31,31,3,0.9659719,1,0,3.870682,3.934509,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.8),(-29.3, 1.3, -31.9),(1.9, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01987359,False,0,0,
637580816799888352,1601471,218027,31,31,3,0.9659719,1,0,3.870834,3.934891,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.8),(-29.3, 1.3, -31.9),(2.0, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.02120867,False,0,0,
637580816799932998,1601479,218028,31,31,3,0.9579499,1,0,3.874847,3.944611,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.9),(2.1, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.02328711,False,0,0,
637580816800032202,1601496,218030,31,31,3,0.9579499,1,0,3.890259,3.947662,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.9),(2.0, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.02440256,False,0,0,
637580816800141317,1601504,218031,31,31,3,0.9583204,1,0,3.890854,3.950348,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.9),(1.8, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.02692906,False,0,0,
637580816800250440,1601512,218032,31,31,3,0.9589278,1,0,3.897034,3.954437,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.8),(1.5, 3.1, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01896394,False,0,0,
637580816800344684,1601521,218033,31,31,3,0.9589278,1,0,3.897476,3.954544,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.8),(1.0, 3.0, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01468927,False,0,0,
637580816800543082,1601529,218034,31,31,3,0.9662151,1,0,3.897781,3.954666,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.8),(0.5, 3.0, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01257677,False,0,0,
637580816800557967,1601537,218035,31,31,3,0.9554647,1,0,3.898239,3.954926,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.8),(0.0, 3.0, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01159113,False,0,0,
637580816800572845,1601546,218036,31,31,3,0.9554647,1,0,3.894531,3.956421,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.8),(-0.1, 3.0, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01159113,False,0,0,
637580816800607567,1601554,218037,31,31,3,0.9554647,1,0,3.894379,3.960846,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.8),(-0.2, 3.0, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01159113,False,0,0,
637580816800696842,1601562,218038,31,31,3,0.954296,1,0,3.900528,3.961365,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.8),(-0.2, 3.0, -31.8),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01160687,False,0,0,
637580816800810923,1601571,218039,31,31,3,0.954296,1,0,3.907639,3.97728,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.3, -31.8),(-0.3, 3.0, -31.7),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.01161531,False,0,0,
637580816800855565,1601579,218040,31,31,3,0.9638731,1,0,3.900757,3.986359,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.6, 4.8, -31.7),(-29.3, 1.2, -31.8),(0.0, 3.0, -31.7),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),(0.0, -0.2, 1.0),1,0,0,0,0,0,0.009794013,False,0,0,
