timestamp,ticksSince1970 (100ns),ObjectId,ActionId,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9
0.0182193,1.6231498971390448e+16,0,5,hall
0.0364386,1.6231498975240152e+16,2,3,1,1,0.030340974758725194
0.0564386,1.6231498975828586e+16,1,3,1,2,0.030341187099222067
0.1448745,1.6231498976766068e+16,1,3,0,2,3.7989979060004817
0.1448745,1.6231498976766068e+16,2,3,0,1,0.308551365259595
24.88926,1.6231499225741366e+16,0,5,corridor
33.19554,1.6231499308785512e+16,0,1,-3.472904,1.589564,-2.87747,-5.158989,1.587327,-3.144587
33.19554,1.6231499308785512e+16,0,5,bedroom 1
34.54333,1.6231499322286652e+16,0,1,-5.267972,1.573323,-3.239514,-6.625099,1.57312,-3.45036
46.66497,1.6231499443475224e+16,2,4,1,77,0.09489265845680572
46.78381,1.623149944466662e+16,2,4,0,77,0.3651453881442294
49.71491,1.6231499473973168e+16,2,3,1,1,0.09772837224578122
49.73529,1.6231499474203002e+16,1,3,1,2,0.09620238047933105
50.88001,1.6231499485632428e+16,2,3,0,1,0.3070350319755707
50.89196,1.6231499485742144e+16,1,3,0,2,0.3079762793199501
64.82489,1.62314996250818e+16,0,1,-5.962589,1.665085,-3.020352,-4.670799,1.66519,-1.697504
68.54584,1.6231499662287452e+16,2,3,1,1,0.09930983012089001
68.56779,1.6231499662496892e+16,1,3,1,2,0.09963761789605396
69.91787,1.6231499676005038e+16,0,1,-4.64305,1.622253,-2.910418,-3.28095,1.625208,-2.793568
69.91787,1.6231499676005038e+16,0,5,corridor
69.91787,1.6231499676015008e+16,1,3,0,2,1.3047729823727998
70.72574,1.6231499684100696e+16,0,1,-3.255828,1.632973,-2.710868,-0.6545234,1.630402,-3.230439
70.72574,1.6231499684100696e+16,0,5,livingroom
71.03683,1.6231499687299436e+16,2,3,0,1,0.30079037295959116
72.44367,1.6231499701348548e+16,0,1,-0.6292485,1.597026,-3.213175,0.5259498,1.597031,-3.835314
74.06904,1.623149971753579e+16,2,4,1,102,0.09954503702123942
75.19813,1.6231499728825994e+16,2,4,0,102,0.3107930798792184
81.26526,1.6231499789478208e+16,2,4,1,135,0.09777133116578711
81.47266,1.6231499791554098e+16,2,4,0,135,0.30467627809964126
81.98439,1.6231499796672338e+16,2,4,1,135,0.08980148678262515
82.03955,1.623149979722534e+16,2,3,1,135,0.09812326749436141
82.14101,1.6231499798243264e+16,2,4,0,135,0.37490350217121193
82.23567,1.6231499799182846e+16,2,3,0,135,0.3132843556930349
86.9503,1.62314998463327e+16,0,5,kitchen
87.94049,1.6231499856239666e+16,0,5,livingroom
88.03807,1.623149985720388e+16,1,3,1,18,0.09958905183482786
88.04932,1.6231499857338846e+16,1,4,1,18,0.09953467231779081
88.4496,1.6231499861323528e+16,0,5,kitchen
90.78056,1.6231499884623912e+16,0,5,livingroom
91.96748,1.6231499896509836e+16,2,3,1,74,0.09829120902176335
91.96748,1.6231499896509836e+16,2,4,1,74,0.09839403194447302
92.56409,1.6231499902463806e+16,2,3,0,74,0.30878438336206376
92.56409,1.6231499902463806e+16,2,4,0,74,0.30878336687030256
93.12397,1.6231499908063856e+16,2,3,1,32,0.09948666102593852
93.26798,1.6231499909509992e+16,1,3,0,18,0.30261058422560116
93.28928,1.62314999097294e+16,2,4,1,32,0.0451674799302555
96.1354,1.6231499938182652e+16,2,4,0,32,0.3013671058165608
96.22468,1.6231499939077802e+16,2,3,0,32,0.3013271555063695
96.59465,1.6231499942769866e+16,2,3,1,38,0.09956911601802022
96.63435,1.623149994316854e+16,1,4,0,18,0.3018344043729276
97.08793,1.6231499947717864e+16,2,3,0,38,0.30330064031228143
98.78839,1.6231499964714824e+16,1,3,1,2,0.09916042464153745
98.78839,1.6231499964714824e+16,2,3,1,1,0.09903220736351422
100.12,1.6231499978067604e+16,2,4,1,108,0.09769904410796476
100.408,1.6231499980901782e+16,2,4,0,108,0.30289374507467154
100.4188,1.6231499981021472e+16,1,3,0,2,0.3009929389985919
100.4188,1.6231499981021472e+16,2,3,0,1,0.31386299901136777
102.0331,1.6231499997162644e+16,0,5,kitchen
111.7026,1.6231500093849232e+16,2,4,1,56,0.09653210070173476
113.0035,1.6231500106866916e+16,2,4,0,56,0.3128644202322314
122.5354,1.6231500202185712e+16,2,3,1,140,0.09951538864663105
122.6568,1.6231500203392488e+16,2,4,1,140,0.06961161146683774
123.9748,1.6231500216579732e+16,2,3,0,140,0.34456216399076683
124.0434,1.6231500217267892e+16,2,4,0,140,0.30581940647382044
124.3446,1.6231500220277206e+16,1,3,1,2,0.09974607208787731
124.7457,1.6231500224277584e+16,2,3,1,1,0.09733119159858279
130.2293,1.6231500279118068e+16,0,1,3.32912,1.619136,-6.536757,5.757329,1.618888,-0.4881181
130.2293,1.6231500279118068e+16,0,5,terrace
130.2293,1.6231500279118068e+16,1,3,0,2,6.4509975968972615
130.915,1.6231500285969884e+16,2,3,0,1,0.302602373561048
132.449,1.6231500301322378e+16,0,1,5.792571,1.643891,-0.7637055,7.385571,1.644659,-3.76515
134.3026,1.6231500319863212e+16,0,1,7.302785,1.657831,-3.644463,9.726001,3.588361,-3.996
137.0456,1.6231500347281596e+16,0,1,9.71511,3.580612,-4.077528,11.38579,5.889125,-8.986422
139.5454,1.623150037227728e+16,0,1,11.31192,5.900366,-9.050092,13.24294,8.547361,-7.068206
166.9425,1.6231500646250682e+16,2,3,1,1,0.09381555281508544
166.9537,1.6231500646360388e+16,1,3,1,2,0.09234833117062848
