timestamp,ticksSince1970 (100ns),objectId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0.0,16231496159378883,0,109.8662,0.771228,0.05,300.0,,
0.0113042,16231496159418777,0,-0.3047039,1.548954,-0.3734549,46.06144,211.4341,6.810666
0.0113042,16231496159438724,1,-0.3104526,1.105645,-0.5903002,336.7575,212.2564,0.183076
0.0113042,16231496159438724,2,-0.3991895,1.096274,-0.5094467,338.3011,215.3306,348.3717
0.0113042,16231496159438724,3,-0.304704,1.54895,-0.3734549,74.94242,244.2675,-2.629122e-05
0.0113042,16231496159438724,4,2.96,1.05,0.4429998,4.898381e-06,63.21941,3.469103e-05
0.0113042,16231496159438724,5,3.015,1.05,-0.0170002,2.204624e-05,210.0,5.616873e-06
0.0113042,16231496159438724,6,2.712,1.05,-0.2880001,1.572607e-05,225.0,-9.07294e-05
0.0113042,16231496159438724,7,2.826,1.05,-0.1740003,4.970105e-05,198.0981,-0.0001678156
0.0113042,16231496159438724,8,2.826,1.05,0.04899979,1.14216e-05,198.098,-1.446755e-05
0.0113042,16231496159438724,9,3.053,1.049999,0.2269998,3.180555e-15,90.0,6.246871e-08
0.0113042,16231496159438724,10,3.145,1.049999,0.4429998,1.29079e-05,90.00002,7.590984e-06
0.0113042,16231496159438724,11,2.749,1.05,0.4400001,2.712756e-06,215.0,-4.56756e-06
0.0113042,16231496159438724,12,2.854,1.049999,0.243,-4.876972e-06,90.0,-1.829845e-05
0.0113042,16231496159438724,13,2.704,1.049999,0.2849998,3.180555e-15,90.0,6.246871e-08
0.0113042,16231496159438724,14,2.712,1.05,-0.06500006,6.24544e-06,225.0,-2.017828e-05
0.0113042,16231496159438724,15,3.015,1.05,-0.2400002,2.07734e-06,210.0,-1.594255e-05
0.0113042,16231496159438724,16,0.847,-0.073,-4.397,0.0,0.0,0.0
0.1113042,16231496159648163,0,-0.3041794,1.549309,-0.3725965,45.85709,211.3524,6.807251
0.1113042,16231496159648163,1,-0.311278,1.105517,-0.5899931,336.7961,212.2721,0.1412031
0.1113042,16231496159648163,2,-0.3988591,1.097084,-0.5087729,337.773,215.3964,348.5294
0.1113042,16231496159648163,3,-0.3041794,1.549316,-0.3725965,74.8565,244.2847,-2.614553e-05
0.1333143,16231496159817706,0,-0.304166,1.549272,-0.3724798,45.85666,211.333,6.807388
0.1333143,16231496159817706,1,-0.3120723,1.105544,-0.58959,336.8419,212.2724,0.178029
0.1333143,16231496159817706,2,-0.3944946,1.110174,-0.509487,332.3025,216.6314,348.6286
0.1333143,16231496159817706,3,-0.3041661,1.549271,-0.3724798,74.95509,244.8502,-2.631283e-05
0.1509279,16231496159947361,0,-0.3041702,1.549244,-0.3724088,45.86963,211.2996,6.798065
0.1509279,16231496159947361,1,-0.3119719,1.105461,-0.5895774,336.845,212.2733,0.1960319
0.1509279,16231496159947361,2,-0.3946256,1.109968,-0.5093518,332.1923,216.6143,348.7851
0.1509279,16231496159947361,3,-0.3041703,1.54924,-0.3724088,74.69208,245.5615,-1.293566e-05
0.1663642,16231496160086987,0,-0.3042205,1.54922,-0.3723644,45.88243,211.2653,6.766477
0.1663642,16231496160086987,1,-0.3121845,1.105465,-0.5894215,336.8316,212.2896,0.1735563
0.1663642,16231496160086987,2,-0.3952565,1.110442,-0.5090479,332.095,216.5712,348.8779
0.1663642,16231496160086987,3,-0.3042206,1.549225,-0.3723644,74.65165,245.5154,0.0
0.1879327,16231496160336319,0,-0.3041883,1.549211,-0.3723272,45.89416,211.2631,6.752013
0.1879327,16231496160336319,1,-0.3122804,1.105703,-0.5892192,336.8076,212.3346,0.1112155
0.1879327,16231496160336319,2,-0.3951586,1.110702,-0.5084958,331.6413,216.4063,349.2155
0.1879327,16231496160336319,3,-0.3041884,1.54921,-0.3723272,79.93558,243.7117,-9.771049e-06
0.1998012,16231496160475947,0,-0.304233,1.549162,-0.3723083,45.89553,211.2913,6.757698
0.1998012,16231496160475947,1,-0.3121416,1.105695,-0.5892562,336.8248,212.3394,0.1403212
