time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637587507622355789,2893180,270681,31,31,3,1,1,0,4.180679,4.246933,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.0, -31.4),(-28.2, 3.2, -29.0),(-26.9, 3.2, -29.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.04603837,0.04603837,False,0,0,
637587507622431333,2893188,270682,31,31,3,1,1,0,4.21373,4.272339,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 2.9, -31.3),(-28.2, 3.2, -29.0),(-22.7, 3.2, -29.2),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.07451933,0.07451933,False,0,0,
637587507622514511,2893196,270683,31,31,3,1,1,0,4.238373,4.269806,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.0, -31.6),(-28.2, 3.3, -29.2),(33.9, 3.0, -31.6),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.07384895,0.07384895,False,0,0,
637587507622613702,2893205,270684,31,31,3,1,1,0,4.20697,4.379013,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.0, -31.5),(-28.2, 3.3, -29.2),(34.5, 3.0, -31.5),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.07645884,0.07645884,False,0,0,
637587507622683162,2893213,270685,31,31,3,1,1,0,4.232681,4.423355,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.0, -31.4),(-28.2, 3.1, -28.2),(34.5, 3.0, -31.4),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.07785951,0.07785951,False,0,0,
637587507622767474,2893221,270686,31,31,3,1,1,0,4.246262,4.377014,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.1, -31.5),(-28.2, 3.1, -28.3),(34.5, 3.1, -31.5),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.06884146,0.06884146,False,0,0,
637587507622851788,2893230,270687,31,31,3,1,1,0,4.238129,4.326065,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.1, -31.6),(-28.2, 3.1, -28.3),(34.5, 3.1, -31.6),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.06626705,0.06626705,False,0,0,
637587507622970828,2893238,270688,31,31,3,1,1,0,4.224182,4.371628,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.2, -31.8),(-28.2, 3.2, -28.4),(34.5, 3.2, -31.8),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.07816093,0.07816093,False,0,0,
637587507623020441,2893246,270689,31,31,3,1,1,0,4.242676,4.388931,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.2, -31.7),(-28.2, 3.2, -28.4),(34.5, 3.2, -31.7),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.07816093,0.07816093,False,0,0,
637587507623099792,2893255,270690,31,31,3,1,1,0,4.174805,4.405991,0,(0.4, 0.5),(0.4, 0.5),(0.0, 0.0),(34.5, 3.2, -31.7),(-28.2, 3.2, -28.4),(34.5, 3.2, -31.7),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),(0.1, 0.0, 1.0),1,0,0,0,0,0.07761602,0.07761602,False,0,0,
