timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-06-08-12-05-09,16231539091611658,Tutorial,00:00:53.0342373,17,1,
21-06-08-12-06-02,16231539622157391,HouseAestheticBase,00:01:05.6495164,143,0,
21-06-08-12-07-07,16231540278816237,HouseAestheticSpace,00:03:14.2259812,143,0,
21-06-08-12-10-22,16231542221128464,HouseAestheticPostApo,00:04:12.6032269,13,0,
21-06-08-12-14-34,16231544747299614,HouseAestheticBase,00:00:21.9319766,143,0,
21-06-08-12-14-56,16231544966688824,HouseAestheticSpace,00:02:25.5196274,143,0,
21-06-08-12-17-22,16231546421944608,HouseAestheticPostApo,00:01:32.3203594,13,0,
