timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-05-27-13-00-11,16221204117286931,Tutorial,00:00:55.8468230,17,1,
21-05-27-13-01-14,16221204747018705,HouseAestheticBase,00:00:33.0140328,143,0,
21-05-27-13-01-47,16221205077528046,HouseAestheticSpace,00:02:53.0065054,143,0,
21-05-27-13-04-40,16221206808151607,HouseAestheticPostApo,00:03:16.9667141,13,0,
21-05-27-13-08-03,16221208836945117,HouseAestheticBase,00:00:32.7854270,143,0,
