timestamp,ticksSince1970 (100ns),objectId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0.0,16221204747058602,0,60.0,1.191617,0.05,300.0,,
0.0662751,16221204747851540,0,-2.749018,1.781442,-0.7600017,5.796633,90.3847,8.993288
0.0662751,16221204747851540,1,-3.0,1.0,-0.5500001,0.0,270.0,0.0
0.0662751,16221204747860171,2,-3.0,1.0,-0.04999998,0.0,270.0,0.0
0.0662751,16221204747860297,4,3.918089,0.8740636,-4.714627,2.909853,359.5247,8.228566
0.0662751,16221204747860297,5,4.1961,0.4318494,-7.666363,270.0,180.0002,0.0
0.0662751,16221204747860297,6,-4.625363,0.9341073,-7.99551,7.01671e-15,180.0,7.01671e-15
0.0662751,16221204747860297,7,3.783205,0.8022665,-4.229737,270.0198,179.9996,0.0
0.0662751,16221204747860297,8,-6.734734,0.7610954,-4.304539,3.158962e-05,30.0,90.00002
0.0662751,16221204747860297,9,-3.407,1.131,0.6619629,2.754106e-10,3.751814e-09,3.335039e-09
0.0662751,16221204747860297,10,-3.519833,1.131,-2.315897,-3.414719e-06,90.0,-3.407036e-06
0.0662751,16221204747860297,11,3.366951,0.7951653,-4.229049,270.1083,179.9575,0.0
0.0662751,16221204747860297,12,-2.0012,0.5673618,0.2419991,-0.0004653591,-9.892823e-06,-5.45788e-05
0.0662751,16221204747860297,13,-4.806009,1.080051,-7.419955,0.007947712,180.0017,0.02521485
0.0662751,16221204747860297,14,3.828578,0.8014511,-4.229737,270.0198,179.9996,0.0
0.0662751,16221204747860297,15,4.241605,0.432605,-7.664938,270.0,180.0,0.0
0.0662751,16221204747860297,16,-4.879264,0.9341073,-7.99551,0.0,0.0,0.0
0.0662751,16221204747860297,17,-1.933835,0.01270729,-8.344038,0.0,90.0,0.0
0.0662751,16221204747860297,18,3.307876,0.8660526,-4.207197,359.0128,327.5535,3.407599
0.0662751,16221204747860297,19,5.041712,1.503993,-7.81381,357.609,0.03726506,-0.001062872
0.0662751,16221204747860297,20,3.878026,0.9252636,-7.579324,270.0343,0.04367431,0.0
0.0662751,16221204747860297,21,4.183729,0.8022651,-4.723037,270.0,-0.0003552915,0.0
0.0662751,16221204747860297,22,5.349575,1.26817,-7.753372,0.6240721,-0.001373144,359.5102
0.0662751,16221204747860297,23,-6.337111,1.034707,-4.011038,0.0,0.0,0.0
0.0662751,16221204747860297,24,-1.648836,1.034707,-7.286563,0.0,90.0,0.0
0.0662751,16221204747860297,25,-1.648834,1.034707,-8.132804,0.0,90.0,0.0
0.0662751,16221204747860297,26,4.502467,0.225217,-7.665137,0.0,0.0,0.0
0.0662751,16221204747860297,27,-1.904814,1.049829,-8.356539,359.502,89.9987,359.9171
0.0662751,16221204747860297,28,-4.739789,0.8644254,-6.314125,359.9941,179.9987,359.9119
0.0662751,16221204747860297,29,0.5520558,0.4803111,-1.600912,270.0713,39.87785,0.0
0.0662751,16221204747860297,30,-1.904838,1.364826,-8.738039,359.4805,90.00134,359.907
0.0662751,16221204747860297,31,-6.45096,0.7344987,-4.199737,0.0006082783,0.0004334813,359.9556
0.0662751,16221204747860297,32,-7.731576,1.319013,-4.234358,7.240375e-06,270.0,-7.242469e-06
0.0662751,16221204747860297,33,-4.718479,1.07957,-6.942106,0.0001862189,179.9996,-0.003278068
0.0662751,16221204747860297,34,5.190968,0.4535474,-7.635737,3.071943e-06,1.981189e-07,300.0
0.0662751,16221204747860297,35,-8.032309,1.034707,-4.011039,0.0,0.0,0.0
0.0662751,16221204747860297,36,3.299876,0.01771873,-3.932139,358.8504,0.1632699,359.6053
0.0662751,16221204747860297,37,3.791554,0.8427793,-4.543094,270.7541,331.7771,28.73206
0.0662751,16221204747860297,38,-1.837534,0.7344987,-8.86791,0.0006793721,90.00022,359.9555
0.0662751,16221204747860297,39,1.70331,0.5183198,-0.4807856,271.5622,113.2676,190.5992
0.0662751,16221204747860297,40,-2.0012,0.5660053,0.242,-4.356989e-06,-2.610199e-06,-1.193992e-06
0.0662751,16221204747860297,41,4.705867,0.225217,-7.665137,0.0,0.0,0.0
0.0662751,16221204747860297,42,-7.478577,1.319013,-4.234358,7.240375e-06,270.0,-7.242469e-06
0.0662751,16221204747860297,43,1.076168,0.8714674,-5.797037,270.0,-5.795609e-05,0.0
0.0662751,16221204747860297,44,-6.974833,0.01270729,-4.296039,0.0,0.0,0.0
0.0662751,16221204747860297,45,3.429976,0.9266912,-7.833501,270.1028,321.0419,0.0
0.0662751,16221204747860297,46,5.025067,0.4755523,-7.693937,0.0,180.0,0.0
0.0662751,16221204747860297,47,5.324867,1.257795,-7.600349,359.4763,269.9084,354.2942
0.0662751,16221204747860297,48,5.025067,0.4755523,-7.729637,0.0,180.0,0.0
0.0662751,16221204747860297,49,5.260365,1.258343,-7.600206,359.4975,269.9176,354.289
0.0662751,16221204747860297,50,-3.566833,1.131,-5.219897,-3.411752e-06,90.0,-3.419766e-06
0.0662751,16221204747860297,51,-7.273577,1.319013,-4.234356,7.265712e-06,270.0,-7.235972e-06
0.0662751,16221204747860297,52,2.968443,0.9035075,-4.467932,359.9467,0.01609694,359.8994
0.0662751,16221204747860297,53,-4.7947,0.8092319,-6.36403,0.002876045,179.9991,359.9811
0.0662751,16221204747860297,54,4.033877,0.8501067,-4.483999,351.7927,0.01810134,0.001555686
0.0662751,16221204747860297,55,3.650927,0.2063503,-7.444832,270.0,270.0,0.0
0.0662751,16221204747860297,56,-1.933835,0.01270729,-8.344038,0.0,90.0,0.0
0.0662751,16221204747860297,57,2.919667,0.3732667,-7.765937,270.0,257.71,0.0
0.0662751,16221204747860297,58,-1.872601,1.319013,-8.141001,6.830334e-06,2.390566e-05,-6.820957e-06
0.0662751,16221204747860297,59,5.025067,0.4755523,-7.742237,0.0,0.0,0.0
0.0662751,16221204747860297,60,3.058669,0.2310076,-7.621202,270.0,-4.829672e-06,0.0
0.0662751,16221204747860297,61,-1.648837,1.034707,-8.130473,0.0,90.0,0.0
0.0662751,16221204747860297,62,-2.202111,1.29634,-9.077442,6.8268e-06,2.390566e-05,-6.830056e-06
0.0662751,16221204747860297,63,3.50648,0.8428194,-4.409897,271.4219,149.3683,31.37688
0.0662751,16221204747860297,64,3.059269,0.2324475,-7.620962,270.0,0.0,0.0
0.0662751,16221204747860297,65,3.646867,0.5489765,-7.686,3.756603e-05,0.0001297736,1.70759e-06
0.0662751,16221204747860297,66,-1.648835,1.034707,-9.40909,0.0,90.0,0.0
