time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637582258407336717,3290191,228560,31,31,3,1,1,0,4.010345,3.985077,0,(0.6, 0.5),(0.4, 0.5),(0.0, 0.0),(29.2, 3.7, -25.8),(-29.8, 4.2, -29.5),(24.9, 3.7, -26.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2416433,0.2416433,False,0,0,
637582258407406401,3290200,228561,31,31,3,1,1,0,3.995346,3.854889,0,(0.6, 0.5),(0.4, 0.5),(0.0, 0.0),(29.2, 3.7, -25.8),(-29.8, 4.2, -29.5),(24.2, 3.7, -26.1),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2515906,0.2515906,False,0,0,
637582258407490478,3290208,228562,31,31,3,1,1,0,4.07901,4.022064,0,(0.6, 0.5),(0.4, 0.5),(0.0, 0.0),(29.2, 3.7, -25.8),(-29.9, 4.2, -29.5),(21.8, 3.7, -26.2),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2563026,0.2563026,False,0,0,
637582258407570112,3290216,228563,31,31,3,1,1,0,4.097626,3.925385,0,(0.6, 0.5),(0.4, 0.5),(0.0, 0.0),(29.2, 3.7, -25.8),(-29.9, 4.2, -29.4),(21.4, 3.7, -26.2),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2612745,0.2612745,False,0,0,
637582258407654162,3290224,228564,31,31,3,1,1,0,4.031006,4.092819,0,(0.6, 0.5),(0.4, 0.5),(0.0, 0.0),(29.1, 3.7, -25.8),(-29.9, 4.2, -29.4),(17.6, 3.8, -26.5),(0.1, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2639427,0.2639427,False,0,0,
637582258407738487,3290233,228565,31,31,3,1,1,0,4.086227,4.0811,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(29.1, 3.7, -25.8),(-29.9, 4.2, -29.4),(17.1, 3.8, -26.6),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2685255,0.2685255,False,0,0,
637582258407822812,3290241,228566,31,31,3,1,1,0,4.043777,4.070618,0,(0.6, 0.5),(0.4, 0.5),(0.0, 0.0),(29.1, 3.7, -25.8),(-29.9, 4.2, -29.5),(15.3, 3.8, -26.7),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.270985,0.270985,False,0,0,
637582258407907146,3290249,228567,31,31,3,1,1,0,4.060379,4.037064,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(29.1, 3.7, -25.8),(-29.9, 4.2, -29.5),(5.6, 3.9, -27.3),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2745424,0.2745424,False,0,0,
637582258407986497,3290258,228568,31,31,3,1,1,0,4.051392,4.031342,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(29.1, 3.7, -25.8),(-29.9, 4.2, -29.5),(0.2, 3.9, -27.6),(0.1, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2764516,0.2764516,False,0,0,
637582258408070830,3290266,228569,31,31,3,1,1,0,4.042618,4.065872,0,(0.6, 0.5),(0.5, 0.5),(0.0, 0.0),(29.2, 3.7, -25.8),(-29.9, 4.3, -29.7),(4.2, 3.9, -27.5),(0.1, -0.1, 1.0),(0.2, -0.1, 1.0),(0.2, -0.1, 1.0),1,0,0,0,0,0.2875212,0.2875212,False,0,0,
