timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-05-31-13-33-07,16224679875847227,Tutorial,00:00:56.5099160,17,1,
21-05-31-13-34-04,16224680441511837,HouseAestheticBase,00:01:26.5814787,143,0,
21-05-31-13-35-30,16224681307401025,HouseAestheticSpace,00:01:52.9076507,143,0,
21-05-31-13-37-23,16224682436551932,HouseAestheticPostApo,00:02:05.2116382,13,0,
21-05-31-13-39-28,16224683688856802,HouseAestheticBase,00:01:25.1340600,143,0,
21-05-31-13-40-54,16224684540276765,HouseAestheticSpace,00:01:25.9093158,143,0,
