step_index,element,order,item,dir_path
1,questionnaires,ordered,demographics,Enregistrements\S23\profiling\S23_answers_demographics.csv
1,questionnaires,ordered,FPT,Enregistrements\S23\profiling\S23_answers_FPT.csv
1,questionnaires,ordered,gaming,Enregistrements\S23\profiling\S23_answers_gaming.csv
2,condition,latin_square,Narrative,Enregistrements\S23\Narrative
2b,questionnaires,ordered,DFS_Narrative,Enregistrements\S23\profiling\S23_answers_DFS_Narrative.csv
2b,questionnaires,ordered,TPI_Narrative,Enregistrements\S23\profiling\S23_answers_TPI_Narrative.csv
2,condition,latin_square,Aesthetic,Enregistrements\S23\Aesthetic
2b,questionnaires,ordered,DFS_Aesthetic,Enregistrements\S23\profiling\S23_answers_DFS_Aesthetic.csv
2b,questionnaires,ordered,TPI_Aesthetic,Enregistrements\S23\profiling\S23_answers_TPI_Aesthetic.csv
2,condition,latin_square,Goals,Enregistrements\S23\Goals
2b,questionnaires,ordered,DFS_Goals,Enregistrements\S23\profiling\S23_answers_DFS_Goals.csv
2b,questionnaires,ordered,TPI_Goals,Enregistrements\S23\profiling\S23_answers_TPI_Goals.csv
