time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637590175219789089,485182,305124,31,31,3,0.9928882,0.9475038,0,4.137024,3.733063,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(29.1, -2.3, -22.5),(-30.3, -3.2, -25.3),(18.1, -2.5, -23.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,0,
637590175219863488,485191,305125,31,31,3,1,1,0,4.095291,3.782318,0,(0.6, 0.6),(0.5, 0.7),(0.0, 0.0),(28.9, -2.4, -22.5),(-30.4, -3.2, -25.3),(17.5, -2.5, -23.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0.0395226,0.0395226,False,0,0,
637590175219942852,485199,305126,31,31,3,1,1,0,4.098099,3.8535,0,(0.6, 0.6),(0.5, 0.7),(0.0, 0.0),(28.9, -2.4, -22.5),(-30.4, -3.2, -25.3),(17.8, -2.5, -23.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0.05566871,0.05566871,False,0,0,
637590175220032130,485207,305127,31,31,3,1,1,0,4.063843,3.818878,0,(0.6, 0.6),(0.5, 0.7),(0.0, 0.0),(28.9, -2.3, -22.4),(-30.5, -3.2, -25.3),(16.9, -2.5, -23.0),(0.0, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0.09115808,0.09115808,False,0,0,
637590175220111493,485216,305128,31,31,3,1,1,0,4.147156,3.853897,0,(0.6, 0.6),(0.5, 0.7),(0.0, 0.0),(28.9, -2.3, -22.4),(-30.5, -3.2, -25.3),(17.6, -2.5, -23.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0.1102043,0.1102043,False,0,0,
637590175220195812,485224,305129,31,31,3,1,1,0,4.110016,3.854584,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(29.0, -2.3, -22.5),(-30.3, -3.2, -25.3),(16.7, -2.5, -23.1),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0.1114031,0.1114031,False,0,0,
637590175220280140,485232,305130,31,31,3,1,1,0,4.131729,3.695923,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(29.2, -2.3, -22.6),(-30.1, -3.2, -25.3),(15.5, -2.5, -23.2),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),1,0,0,0,0,0.1120465,0.1120465,False,0,0,
637590175220364454,485241,305131,31,31,3,1,1,0,4.08522,3.704849,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(29.4, -2.3, -22.6),(-30.0, -3.1, -25.4),(15.0, -2.5, -23.3),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),1,0,0,0,0,0.06723495,0.06723495,False,0,0,
637590175220443815,485249,305132,31,31,3,1,1,0,4.034332,3.817368,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(29.5, -2.3, -22.6),(-29.8, -3.1, -25.4),(14.3, -2.5, -23.3),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),1,0,0,0,0,0.0431857,0.0431857,False,0,0,
637590175220533094,485257,305133,31,31,3,0.9823415,0.9841868,0,3.926117,3.801819,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(29.8, -2.2, -22.7),(-29.6, -3.1, -25.4),(13.1, -2.4, -23.4),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),1,0,0,0,0,0,0,False,0,0,
