time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637588448776047732,1681436,2839,31,31,3,0.6842374,0.8220792,0,4.188049,4.721313,0,(0.4, 0.6),(0.4, 0.7),(0.0, 0.0),(34.4, -1.8, -23.6),(-28.3, -4.4, -22.0),(-25.3, -4.3, -22.1),(0.2, -0.1, 1.0),(0.3, -0.1, 1.0),(0.3, -0.1, 1.0),1,0,0,0,0,0,0,False,0,0,
637588448776077652,1681453,2841,31,31,3,0.7062196,0.8552153,0,4.095673,4.827484,0,(0.4, 0.6),(0.4, 0.7),(0.0, 0.0),(34.3, -1.7, -23.6),(-28.4, -4.6, -22.1),(23.0, -2.2, -23.3),(0.3, -0.2, 1.0),(0.3, -0.1, 0.9),(0.3, -0.2, 0.9),1,0,0,0,0,0,0,False,0,0,
637588448776187356,1681478,2844,31,31,3,0.7062196,0.8552153,0,4.155518,4.964737,0,(0.4, 0.6),(0.4, 0.7),(0.0, 0.0),(34.3, -1.8, -23.7),(-28.4, -4.9, -22.2),(29.7, -2.0, -23.6),(0.3, -0.2, 0.9),(0.3, -0.2, 0.9),(0.3, -0.2, 0.9),1,0,0,0,0,0,0,False,0,0,
637588448776426713,1681486,2845,31,31,3,0.7323033,0.8815962,0,4.345871,5.085373,0,(0.4, 0.6),(0.4, 0.7),(0.0, 0.0),(34.4, -2.0, -23.7),(-28.3, -5.0, -22.2),(32.7, -2.0, -23.7),(0.3, -0.2, 0.9),(0.4, -0.2, 0.9),(0.3, -0.2, 0.9),1,0,0,0,0,0,0,False,0,0,
637588448776586295,1681511,2848,31,31,3,0.756031,0.9040426,0,4.458389,4.933716,0,(0.4, 0.7),(0.3, 0.7),(0.0, 0.0),(34.8, -2.6, -24.0),(-27.9, -5.4, -22.4),(32.8, -2.6, -24.0),(0.4, -0.2, 0.9),(0.4, -0.2, 0.9),(0.4, -0.2, 0.9),1,0,0,0,0,0,0,False,0,0,
637588448776895463,1681544,2852,31,31,3,0.756031,0.9040426,0,4.44429,5.035294,0,(0.4, 0.7),(0.4, 0.7),(0.0, 0.0),(34.0, -2.4, -23.8),(-28.8, -5.3, -22.2),(-1.2, -4.1, -22.9),(0.3, -0.2, 0.9),(0.3, -0.2, 0.9),(0.3, -0.2, 0.9),1,0,0,0,0,0,0,False,0,0,
637588448777164743,1681569,2855,31,31,3,0.7285805,0.899927,0,4.337875,4.918396,0,(0.5, 0.6),(0.4, 0.7),(0.0, 0.0),(33.4, -2.1, -23.5),(-29.4, -5.2, -22.1),(-1.5, -3.8, -22.7),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),(0.2, -0.2, 1.0),1,0,0,0,0,0,0,False,0,0,
637588448777184695,1681594,2858,31,31,3,0.8033621,0.9601549,0,4.364151,4.890976,0,(0.5, 0.6),(0.4, 0.7),(0.0, 0.0),(33.0, -2.2, -23.5),(-29.7, -5.2, -22.1),(-2.2, -3.9, -22.7),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,0,
637588448777354237,1681611,2860,31,31,3,0.904413,0.9576023,0,4.349518,4.872482,0,(0.5, 0.6),(0.4, 0.7),(0.0, 0.0),(32.8, -2.2, -23.5),(-29.9, -5.2, -22.1),(-3.7, -3.9, -22.7),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,0,
637588448777623520,1681619,2861,31,31,3,0.9140335,0.9503518,0,4.314606,4.819122,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.5, -2.1, -23.4),(-30.1, -5.2, -22.1),(-23.0, -4.8, -22.2),(0.0, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,0,
637588448777733225,1681653,2865,31,31,3,0.9273401,0.9559961,0,4.502747,4.924103,0,(0.5, 0.6),(0.5, 0.7),(0.0, 0.0),(32.3, -2.2, -23.4),(-30.2, -5.4, -22.1),(-28.0, -5.3, -22.2),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),(0.1, -0.2, 1.0),1,0,0,0,0,0,0,False,0,0,
637588448777868018,1681661,2866,31,31,3,0.9273401,0.9559961,0,4.482498,5.001541,0,(0.5, 0.7),(0.4, 0.7),(0.0, 0.0),(32.5, -2.3, -23.5),(-29.8, -5.6, -22.2),(-27.4, -5.4, -22.2),(0.1, -0.2, 1.0),(0.1, -0.3, 1.0),(0.1, -0.3, 1.0),1,0,0,0,0,0,0,False,0,0,
637588448778177116,1681669,2867,31,31,3,0.9000328,0.9526135,0,4.422516,4.996414,0,(0.5, 0.7),(0.4, 0.7),(0.0, 0.0),(32.7, -2.5, -23.5),(-29.6, -5.7, -22.2),(-24.9, -5.4, -22.3),(0.1, -0.3, 1.0),(0.1, -0.3, 1.0),(0.1, -0.3, 1.0),1,0,0,0,0,0,0,False,0,0,
637588448778426446,1681686,2869,31,31,3,0.9000328,0.9526135,0,4.546906,4.973328,0,(0.5, 0.7),(0.4, 0.8),(0.0, 0.0),(33.0, -2.8, -23.7),(-29.2, -5.8, -22.3),(-15.6, -5.2, -22.6),(0.2, -0.3, 0.9),(0.2, -0.3, 0.9),(0.2, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637588448778595993,1681728,2874,31,31,3,0.8916416,0.9554221,0,4.49353,4.815445,0,(0.5, 0.7),(0.4, 0.7),(0.0, 0.0),(33.2, -2.7, -23.7),(-29.2, -5.6, -22.3),(-7.8, -4.6, -22.7),(0.1, -0.3, 0.9),(0.2, -0.3, 0.9),(0.2, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
637588448778645862,1681744,2876,31,31,3,0.8801377,0.9491646,0,4.375366,4.977646,0,(0.5, 0.7),(0.4, 0.7),(0.0, 0.0),(33.0, -2.5, -23.6),(-29.5, -5.6, -22.2),(-7.0, -4.5, -22.7),(0.1, -0.3, 0.9),(0.2, -0.3, 0.9),(0.1, -0.3, 0.9),1,0,0,0,0,0,0,False,0,0,
