timestamp,ticksSince1970 (100ns),objectId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0.0,16224824126724409,0,109.7958,1.777778,0.05,300.0,,
0.0103615,16224824126774008,0,1.193917,1.577811,-0.0957166,13.79067,82.11731,356.2852
0.0103615,16224824126793849,1,1.379154,1.320681,0.02583659,303.932,82.04793,351.916
0.0103615,16224824126793849,2,1.527714,1.285987,-0.05307233,320.6559,74.84582,356.2807
0.0103615,16224824126793849,3,1.193917,1.577805,-0.09571654,19.89429,79.45675,-9.079587e-07
0.0103615,16224824126798810,4,0.847,-0.073,-4.397,0.0,0.0,0.0
0.0103615,16224824126798810,5,2.826,1.05,0.04899979,1.241892e-05,198.098,-1.851257e-05
0.0103615,16224824126798810,6,3.145,1.049999,0.4429998,-6.788929e-06,90.00002,3.198597e-05
0.0103615,16224824126798810,7,2.96,1.05,0.4429998,4.978114e-06,63.21941,4.0542e-06
0.0103615,16224824126798810,8,3.015,1.05,-0.0170002,2.637194e-05,210.0,-1.445898e-06
0.0103615,16224824126798810,9,2.712,1.05,-0.2880001,7.634426e-06,225.0,-8.136212e-05
0.0103615,16224824126798810,10,2.826,1.05,-0.1740003,2.387428e-05,198.098,-8.812442e-05
0.0103615,16224824126798810,11,2.712,1.05,-0.06500006,1.820339e-05,225.0,-1.094491e-05
0.0103615,16224824126798810,12,3.015,1.05,-0.2400002,2.601307e-06,210.0,-2.03852e-05
0.0103615,16224824126798810,13,2.749,1.05,0.4400001,-7.026454e-06,215.0,-1.873837e-05
0.0103615,16224824126798810,14,2.854,1.049999,0.243,-6.403294e-07,90.0,-1.616427e-05
0.0103615,16224824126798810,15,3.053,1.049999,0.2269998,3.180555e-15,90.0,5.876285e-08
0.0103615,16224824126798810,16,2.704,1.049999,0.2849998,3.180555e-15,90.0,5.876285e-08
0.1103615,16224824126848412,0,1.195212,1.57797,-0.09558737,13.56637,82.39691,356.4027
0.1103615,16224824126848412,1,1.379296,1.320687,0.02567923,303.9178,82.11607,351.8705
0.1103615,16224824126848412,2,1.52672,1.28608,-0.05194533,320.748,74.44781,356.6264
0.1103615,16224824126848412,3,1.195212,1.577972,-0.09558731,19.67594,79.75333,9.06715e-07
0.1306346,16224824127041854,0,1.195235,1.577942,-0.0953809,13.51258,82.33485,356.4106
0.1306346,16224824127041854,1,1.381826,1.32036,0.02476096,303.9163,82.04208,352.3156
0.1306346,16224824127041854,2,1.498368,1.266242,-0.04512632,324.9121,67.57251,1.080085
0.1306346,16224824127041854,3,1.195235,1.577942,-0.09538084,19.54097,79.66349,-9.059543e-07
0.153017,16224824127260087,0,1.195234,1.577896,-0.09500968,13.48256,82.24635,356.3913
0.153017,16224824127260087,1,1.381811,1.320399,0.02493691,303.9097,82.02952,352.3419
0.153017,16224824127260087,2,1.496567,1.265093,-0.04669785,324.9889,67.46243,1.120183
0.153017,16224824127260087,3,1.195234,1.577911,-0.09500962,19.68284,77.51983,9.067539e-07
0.1750833,16224824127483306,0,1.195151,1.577786,-0.09470356,13.50533,82.18938,356.3682
0.1750833,16224824127483306,1,1.381867,1.320448,0.0252769,303.9099,81.94127,352.4265
0.1750833,16224824127483306,2,1.494882,1.264336,-0.04903638,324.8884,67.7561,0.9480793
0.1750833,16224824127483306,3,1.195152,1.577789,-0.0947035,19.8611,77.19057,-9.077685e-07
0.1869927,16224824127602334,0,1.195105,1.577751,-0.09455168,13.50459,82.15488,356.3693
0.1869927,16224824127602334,1,1.381898,1.320477,0.02553701,303.9194,81.87883,352.492
0.1869927,16224824127602334,2,1.494354,1.264204,-0.05065322,324.7831,68.11436,0.8661565
0.1869927,16224824127602334,3,1.195106,1.577759,-0.09455162,19.8592,76.66373,-1.815515e-06
0.2083386,16224824127815607,0,1.19491,1.577714,-0.0942384,13.5187,82.12317,356.3799
0.2083386,16224824127815607,1,1.381718,1.320516,0.02605927,303.911,81.76211,352.6052
0.2083386,16224824127820579,2,1.493483,1.264459,-0.05477035,324.6307,68.92908,0.7673861
0.2083386,16224824127820579,3,1.19491,1.577713,-0.09423834,19.26884,76.92722,1.80888e-06
0.2195147,16224824127929687,0,1.194855,1.577718,-0.09402883,13.49175,82.11642,356.3754
0.2195147,16224824127929687,1,1.381671,1.320556,0.02629423,303.8875,81.72159,352.6203
0.2195147,16224824127929687,2,1.493351,1.264586,-0.05699933,324.5852,69.37024,0.7378175
0.2195147,16224824127929687,3,1.194855,1.577713,-0.09402877,19.15996,76.86273,-9.038409e-07
0.2313958,16224824128048726,0,1.194786,1.577766,-0.09386027,13.45717,82.0992,356.3927
0.2313958,16224824128048726,1,1.381607,1.320638,0.02652705,303.8669,81.69488,352.6069
0.2313958,16224824128048726,2,1.493311,1.264726,-0.05945814,324.5533,69.81204,0.7092813
0.2313958,16224824128048726,3,1.194787,1.577759,-0.09386021,19.14404,76.6443,9.037537e-07
0.241659,16224824128147928,0,1.19479,1.577904,-0.09364593,13.42241,82.06497,356.4028
0.241659,16224824128147928,1,1.38156,1.320739,0.02669334,303.8551,81.67449,352.586
0.241659,16224824128147928,2,1.493373,1.264918,-0.06202054,324.5228,70.24472,0.6680695
0.241659,16224824128147928,3,1.194791,1.577911,-0.09364587,19.16066,76.75659,0.0
0.2530972,16224824128266971,0,1.194824,1.578002,-0.0934304,13.36877,82.03683,356.4087
0.2530972,16224824128266971,1,1.381503,1.320926,0.02692556,303.8539,81.66649,352.5612
