timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-06-02-11-12-17,16226323376064797,Tutorial,00:00:12.7111759,17,1,
21-06-02-11-12-30,16226323503409671,HouseObjectives,00:05:48.2678007,147,0,
