timestamp,ticksSince1970 (100ns),objectId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0.0,16226323377880247,0,109.7958,1.777778,0.05,300.0,,
0.0110751,16226323377919862,0,0.2580746,1.735821,-0.02191022,2.120608,91.86453,2.232874
0.0110751,16226323377929784,1,0.3238597,0.8020579,0.03841993,40.91996,131.7015,329.179
0.0110751,16226323377934742,2,0.2909539,0.8353844,-0.0938393,47.27603,14.98993,14.30609
0.0110751,16226323377934742,3,0.2580746,1.735825,-0.02191019,8.695862,87.2478,-8.63702e-07
0.0110751,16226323377934742,4,0.847,-0.073,-4.397,0.0,0.0,0.0
0.0110751,16226323377934742,5,2.826,1.05,0.04899979,1.065236e-05,198.098,-1.638982e-05
0.0110751,16226323377934742,6,3.145,1.049999,0.4429998,1.289228e-05,90.00002,7.780898e-06
0.0110751,16226323377934742,7,2.96,1.05,0.4429998,4.815874e-06,63.21941,3.49688e-05
0.0110751,16226323377934742,8,3.015,1.05,-0.0170002,2.204624e-05,210.0,5.616873e-06
0.0110751,16226323377934742,9,2.712,1.05,-0.2880001,-1.755235e-06,225.0,-9.750761e-05
0.0110751,16226323377934742,10,2.826,1.05,-0.1740003,1.8553e-05,198.098,-0.000103511
0.0110751,16226323377934742,11,2.712,1.05,-0.06500006,-2.270413e-06,225.0,-3.316406e-05
0.0110751,16226323377934742,12,3.015,1.05,-0.2400002,9.403442e-06,210.0,-2.391818e-05
0.0110751,16226323377934742,13,2.749,1.05,0.4400001,-8.194249e-08,215.0,-1.699296e-05
0.0110751,16226323377934742,14,2.854,1.049999,0.243,-4.876972e-06,90.0,-1.829845e-05
0.0110751,16226323377934742,15,3.053,1.049999,0.2269998,3.180555e-15,90.0,6.246871e-08
0.0110751,16226323377934742,16,2.704,1.049999,0.2849998,3.180555e-15,90.0,6.246871e-08
0.1110751,16226323377979381,0,0.2621941,1.735451,-0.02284244,2.280831,91.91142,2.234307
0.1110751,16226323377979381,1,0.3239489,0.8019627,0.03841549,40.95256,131.7157,329.1926
0.1110751,16226323377979381,2,0.2910658,0.8353949,-0.09392014,47.27602,14.98993,14.30608
0.1110751,16226323377979381,3,0.2621942,1.735458,-0.02284241,8.840832,87.31831,1.296059e-06
0.1312277,16226323378167859,0,0.2625428,1.735331,-0.02295282,2.288479,91.91256,2.240293
0.1312277,16226323378167859,1,0.3255605,0.8014327,0.03849006,41.0761,131.6865,329.492
0.1312277,16226323378167859,2,0.2932512,0.8349038,-0.09485549,47.33131,14.89344,14.02444
0.1312277,16226323378167859,3,0.2625428,1.735336,-0.0229528,8.855152,87.36636,8.640727e-07
0.1423928,16226323378281943,0,0.2627708,1.735298,-0.02302936,2.291636,91.91065,2.238549
0.1423928,16226323378281943,1,0.3255795,0.8013754,0.03834048,41.07607,131.6865,329.492
0.1423928,16226323378281943,2,0.2933468,0.8348271,-0.0949852,47.3504,14.86104,13.98923
0.1423928,16226323378281943,3,0.2627709,1.735306,-0.02302933,8.792512,87.35622,0.0
0.1535543,16226323378391071,0,0.2629876,1.735322,-0.02307394,2.28653,91.91441,2.241562
0.1535543,16226323378391071,1,0.3256657,0.8013241,0.03825393,41.07609,131.6865,329.492
0.1535543,16226323378391071,2,0.2933699,0.8347378,-0.09510429,47.36568,14.8271,13.95852
0.1535543,16226323378391071,3,0.2629877,1.735321,-0.02307391,8.79775,87.38466,4.319692e-07
