timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-06-10-12-37-37,16233286574322114,Tutorial,00:00:58.2035674,17,1,
21-06-10-12-38-35,16233287156590911,HouseNarrative,00:05:57.6102656,150,0,
