time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637590076518459386,1250671,257537,31,31,3,0.8781614,0.9137211,0,3.577957,3.538666,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.6, -33.0),(-32.5, 2.8, -37.9),(12.5, 4.1, -34.4),(0.2, -0.5, 0.9),(0.1, -0.5, 0.9),(0.2, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076518509254,1250679,257538,31,31,3,0.704639,0.8581227,0,3.586243,3.465958,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.5, -33.0),(-32.6, 2.8, -37.9),(16.9, 4.1, -34.1),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076518579067,1250688,257539,31,31,3,0.6929996,0.8223702,0,3.536682,3.446442,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.5, -33.0),(-32.6, 2.7, -37.9),(13.0, 4.0, -34.4),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076518628929,1250696,257540,31,31,3,0.6929996,0.8223702,0,3.446213,3.401062,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.2, 4.5, -33.0),(-32.6, 2.6, -37.9),(9.7, 3.8, -34.7),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076518698745,1250704,257541,31,31,3,0.6936878,0.8201681,0,3.533142,3.359039,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.2, 4.5, -33.0),(-32.6, 2.6, -37.9),(6.4, 3.7, -34.9),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637590076518748608,1250713,257542,31,31,3,0.6936878,0.8201681,0,3.428589,3.253891,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.4, -33.0),(-32.6, 2.6, -37.9),(6.1, 3.7, -35.0),(0.1, -0.5, 0.8),(0.1, -0.6, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637590076518858316,1250721,257543,31,31,3,0.6468921,0.7897868,0,3.499176,3.311691,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.4, -33.0),(-32.6, 2.6, -37.9),(5.9, 3.7, -35.0),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637590076518928135,1250729,257544,31,31,3,0.6468921,0.7897868,0,3.540131,3.369537,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.2, 4.4, -33.0),(-32.6, 2.6, -37.9),(7.5, 3.8, -34.8),(0.2, -0.5, 0.8),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637590076519177468,1250738,257545,31,31,3,0.6844426,0.8072627,0,3.403732,3.381363,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.4, -33.0),(-32.6, 2.6, -37.9),(5.8, 3.7, -35.0),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637590076519207389,1250746,257546,31,31,3,0.6844426,0.8072627,0,3.508469,3.369186,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.4, -33.0),(-32.6, 2.6, -37.9),(7.1, 3.7, -34.9),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.9),1,0,0,0,0,0,0,False,0,0,
637590076519366965,1250754,257547,31,31,3,0.6656823,0.7974873,0,3.532852,3.363846,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.4, -33.0),(-32.6, 2.6, -37.9),(5.9, 3.7, -35.0),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637590076519486637,1250763,257548,31,31,3,0.6656823,0.7974873,0,3.500046,3.358292,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.4, -33.0),(-32.6, 2.6, -37.9),(5.5, 3.7, -35.0),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
637590076519536505,1250771,257549,31,31,3,0.6523681,0.8035039,0,3.490585,3.364105,0,(0.5, 0.5),(0.5, 0.6),(0.0, 0.0),(31.3, 4.4, -33.0),(-32.6, 2.6, -37.9),(4.8, 3.7, -35.1),(0.1, -0.5, 0.9),(0.1, -0.5, 0.8),(0.1, -0.5, 0.8),1,0,0,0,0,0,0,False,0,0,
