time(100ns),time_stamp(ms),frame,eye_valid_L,eye_valid_R,eye_valid_C,openness_L,openness_R,openness_C,pupil_diameter_L(mm),pupil_diameter_R(mm),pupil_diameter_C(mm),pos_sensor_L.x,pos_sensor_L.y,pos_sensor_R.x,pos_sensor_R.y,pos_sensor_C.x,pos_sensor_C.y,gaze_origin_L.x(mm),gaze_origin_L.y(mm),gaze_origin_L.z(mm),gaze_origin_R.x(mm),gaze_origin_R.y(mm),gaze_origin_R.z(mm),gaze_origin_C.x(mm),gaze_origin_C.y(mm),gaze_origin_C.z(mm),gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,gaze_direct_C.x,gaze_direct_C.y,gaze_direct_C.z,gaze_sensitive,frown_L,frown_R,squeeze_L,squeeze_R,wide_L,wide_R,distance_valid_C,distance_C(mm),track_imp_cnt
637577150602981648,2705095,36211,31,31,3,1,1,0,4.004868,4.362061,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.3, -30.9),(7.7, -3.5, -32.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4361027,0.4361027,False,0,0,
637577150603071402,2705103,36212,31,31,3,1,1,0,4.005844,4.361404,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.3, -30.9),(7.7, -3.5, -32.1),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4414498,0.4414498,False,0,0,
637577150603141215,2705112,36213,31,31,3,1,1,0,4.006302,4.364288,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.2, -30.9),(7.4, -3.5, -32.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4443195,0.4443195,False,0,0,
637577150603230976,2705120,36214,31,31,3,1,1,0,4.007172,4.369904,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.2, -31.0),(6.4, -3.5, -32.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4474443,0.4474443,False,0,0,
637577150603310756,2705128,36215,31,31,3,1,1,0,3.990814,4.361801,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.2, -31.0),(4.4, -3.6, -31.9),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4480298,0.4480298,False,0,0,
637577150603405567,2705137,36216,31,31,3,1,1,0,3.984283,4.361969,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.2, -31.0),(3.0, -3.7, -31.9),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4493954,0.4493954,False,0,0,
637577150603475379,2705145,36217,31,31,3,1,1,0,3.984268,4.360825,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.2, -31.0),(2.4, -3.7, -31.9),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4501283,0.4501283,False,0,0,
637577150603565138,2705153,36218,31,31,3,1,1,0,3.984268,4.368134,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.2, -31.0),(2.5, -3.7, -31.9),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4300598,0.4300598,False,0,0,
637577150603644925,2705162,36219,31,31,3,1,1,0,3.992523,4.367783,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.2, -31.0),(2.6, -3.7, -31.9),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.4192895,0.4192895,False,0,0,
637577150603734687,2705170,36220,31,31,3,1,1,0,3.99173,4.368103,0,(0.5, 0.7),(0.5, 0.8),(0.0, 0.0),(32.1, -2.3, -32.8),(-29.0, -5.2, -31.0),(2.8, -3.7, -31.9),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),(0.0, 0.0, 1.0),1,0,0,0,0,0.429186,0.429186,False,0,0,
