timestamp,ticksSince1970 (100ns),scene,duration,nbTrackedObjects,nbEvents,trackingScripts
21-05-27-12-24-20,16221182601680057,Tutorial,00:01:38.1687759,17,1,
21-05-27-12-26-04,16221183646678487,HouseNarrative,00:07:03.7077185,150,0,
